model,n-iterations,loss
ResNet-18 Deu,1,2.5580697059631348
ResNet-18 Deu,2,4.281874656677246
ResNet-18 Deu,3,4.98415994644165
ResNet-18 Deu,4,5.917160987854004
ResNet-18 Deu,5,3.8916656970977783
ResNet-18 Deu,6,5.446164608001709
ResNet-18 Deu,7,2.3764119148254395
ResNet-18 Deu,8,3.427929639816284
ResNet-18 Deu,9,1.932965874671936
ResNet-18 Deu,10,4.1336798667907715
ResNet-18 Deu,11,2.4753780364990234
ResNet-18 Deu,12,2.830472946166992
ResNet-18 Deu,13,4.83881139755249
ResNet-18 Deu,14,3.1634459495544434
ResNet-18 Deu,15,5.014707088470459
ResNet-18 Deu,16,3.051485776901245
ResNet-18 Deu,17,2.646883487701416
ResNet-18 Deu,18,3.6612777709960938
ResNet-18 Deu,19,5.43505334854126
ResNet-18 Deu,20,2.795081615447998
ResNet-18 Deu,21,2.8097519874572754
ResNet-18 Deu,22,4.898974418640137
ResNet-18 Deu,23,8.47811222076416
ResNet-18 Deu,24,3.570331573486328
ResNet-18 Deu,25,4.256192207336426
ResNet-18 Deu,26,2.7298479080200195
ResNet-18 Deu,27,3.6817283630371094
ResNet-18 Deu,28,4.54681396484375
ResNet-18 Deu,29,2.9781997203826904
ResNet-18 Deu,30,3.9972946643829346
ResNet-18 Deu,31,6.234455108642578
ResNet-18 Deu,32,3.4599735736846924
ResNet-18 Deu,33,4.975235939025879
ResNet-18 Deu,34,5.007894515991211
ResNet-18 Deu,35,2.8595125675201416
ResNet-18 Deu,36,2.684422492980957
ResNet-18 Deu,37,2.3268933296203613
ResNet-18 Deu,38,4.318733215332031
ResNet-18 Deu,39,4.4997992515563965
ResNet-18 Deu,40,2.9046857357025146
ResNet-18 Deu,41,6.057386875152588
ResNet-18 Deu,42,4.403844356536865
ResNet-18 Deu,43,2.6180381774902344
ResNet-18 Deu,44,6.1391706466674805
ResNet-18 Deu,45,3.2810699939727783
ResNet-18 Deu,46,5.524432182312012
ResNet-18 Deu,47,2.531069278717041
ResNet-18 Deu,48,4.919326305389404
ResNet-18 Deu,49,3.876826763153076
ResNet-18 Deu,50,2.212400436401367
ResNet-18 Deu,51,2.6496846675872803
ResNet-18 Deu,52,3.001473903656006
ResNet-18 Deu,53,3.1607978343963623
ResNet-18 Deu,54,2.9538588523864746
ResNet-18 Deu,55,2.4669017791748047
ResNet-18 Deu,56,2.8410210609436035
ResNet-18 Deu,57,2.868325710296631
ResNet-18 Deu,58,5.525038719177246
ResNet-18 Deu,59,2.25779390335083
ResNet-18 Deu,60,3.381089448928833
ResNet-18 Deu,61,2.133415699005127
ResNet-18 Deu,62,3.424272060394287
ResNet-18 Deu,63,3.03151273727417
ResNet-18 Deu,64,2.2423830032348633
ResNet-18 Deu,65,2.757690191268921
ResNet-18 Deu,66,2.3183131217956543
ResNet-18 Deu,67,3.292133331298828
ResNet-18 Deu,68,3.224886417388916
ResNet-18 Deu,69,2.560110569000244
ResNet-18 Deu,70,2.2635669708251953
ResNet-18 Deu,71,2.3701298236846924
ResNet-18 Deu,72,2.339829444885254
ResNet-18 Deu,73,3.1042492389678955
ResNet-18 Deu,74,2.1901371479034424
ResNet-18 Deu,75,3.304126024246216
ResNet-18 Deu,76,3.284212827682495
ResNet-18 Deu,77,2.2702720165252686
ResNet-18 Deu,78,2.794058322906494
ResNet-18 Deu,79,3.018472194671631
ResNet-18 Deu,80,2.4796109199523926
ResNet-18 Deu,81,2.4151875972747803
ResNet-18 Deu,82,3.028787851333618
ResNet-18 Deu,83,3.4248664379119873
ResNet-18 Deu,84,2.3315677642822266
ResNet-18 Deu,85,2.210420846939087
ResNet-18 Deu,86,2.582963705062866
ResNet-18 Deu,87,2.118462324142456
ResNet-18 Deu,88,1.8499412536621094
ResNet-18 Deu,89,2.104663372039795
ResNet-18 Deu,90,2.8828864097595215
ResNet-18 Deu,91,2.3446364402770996
ResNet-18 Deu,92,3.1203629970550537
ResNet-18 Deu,93,3.717256546020508
ResNet-18 Deu,94,2.264003038406372
ResNet-18 Deu,95,3.2760815620422363
ResNet-18 Deu,96,2.9192698001861572
ResNet-18 Deu,97,2.2251100540161133
ResNet-18 Deu,98,2.3544039726257324
ResNet-18 Deu,99,2.269559860229492
ResNet-18 Deu,100,2.1918976306915283
ResNet-18 Deu,101,2.8294997215270996
ResNet-18 Deu,102,2.999680280685425
ResNet-18 Deu,103,2.149517059326172
ResNet-18 Deu,104,2.7964961528778076
ResNet-18 Deu,105,2.198812961578369
ResNet-18 Deu,106,2.516949415206909
ResNet-18 Deu,107,2.3489608764648438
ResNet-18 Deu,108,2.4996047019958496
ResNet-18 Deu,109,2.4486918449401855
ResNet-18 Deu,110,2.285874128341675
ResNet-18 Deu,111,2.4383342266082764
ResNet-18 Deu,112,2.3261947631835938
ResNet-18 Deu,113,2.39636492729187
ResNet-18 Deu,114,2.5136046409606934
ResNet-18 Deu,115,2.5977835655212402
ResNet-18 Deu,116,2.177272081375122
ResNet-18 Deu,117,2.338655948638916
