model,n-iterations,loss
ResNet-18 Pro,1,2.5659632682800293
ResNet-18 Pro,2,6.251676559448242
ResNet-18 Pro,3,7.742013454437256
ResNet-18 Pro,4,4.211888790130615
ResNet-18 Pro,5,4.440528392791748
ResNet-18 Pro,6,5.148628234863281
ResNet-18 Pro,7,4.468864917755127
ResNet-18 Pro,8,3.5280537605285645
ResNet-18 Pro,9,5.859495639801025
ResNet-18 Pro,10,3.675382614135742
ResNet-18 Pro,11,5.3181047439575195
ResNet-18 Pro,12,5.1063971519470215
ResNet-18 Pro,13,3.370393753051758
ResNet-18 Pro,14,2.007258653640747
ResNet-18 Pro,15,3.108084201812744
ResNet-18 Pro,16,3.37349271774292
ResNet-18 Pro,17,5.3227410316467285
ResNet-18 Pro,18,6.949984550476074
ResNet-18 Pro,19,2.4893500804901123
ResNet-18 Pro,20,5.193979263305664
ResNet-18 Pro,21,5.039095878601074
ResNet-18 Pro,22,3.328444719314575
ResNet-18 Pro,23,2.6546711921691895
ResNet-18 Pro,24,5.934685707092285
ResNet-18 Pro,25,3.132671356201172
ResNet-18 Pro,26,3.0298824310302734
ResNet-18 Pro,27,3.058861017227173
ResNet-18 Pro,28,4.505128860473633
ResNet-18 Pro,29,2.6155784130096436
ResNet-18 Pro,30,3.1549994945526123
ResNet-18 Pro,31,4.576184272766113
ResNet-18 Pro,32,3.520942211151123
ResNet-18 Pro,33,3.444767713546753
ResNet-18 Pro,34,3.3624186515808105
ResNet-18 Pro,35,4.283282279968262
ResNet-18 Pro,36,3.0568337440490723
ResNet-18 Pro,37,2.6809070110321045
ResNet-18 Pro,38,2.261864185333252
ResNet-18 Pro,39,2.86613130569458
ResNet-18 Pro,40,3.278414487838745
ResNet-18 Pro,41,2.615013837814331
ResNet-18 Pro,42,2.698113441467285
ResNet-18 Pro,43,3.394348621368408
ResNet-18 Pro,44,2.809511184692383
ResNet-18 Pro,45,3.3917746543884277
ResNet-18 Pro,46,3.534839153289795
ResNet-18 Pro,47,1.9024626016616821
ResNet-18 Pro,48,3.084679126739502
ResNet-18 Pro,49,2.7010016441345215
ResNet-18 Pro,50,2.438739061355591
ResNet-18 Pro,51,2.270646095275879
ResNet-18 Pro,52,2.745074987411499
ResNet-18 Pro,53,2.344768524169922
ResNet-18 Pro,54,2.404223918914795
ResNet-18 Pro,55,3.0802676677703857
ResNet-18 Pro,56,3.160635471343994
ResNet-18 Pro,57,2.5154166221618652
ResNet-18 Pro,58,2.547145366668701
ResNet-18 Pro,59,2.3689515590667725
ResNet-18 Pro,60,2.8932535648345947
ResNet-18 Pro,61,2.6044764518737793
ResNet-18 Pro,62,2.7755560874938965
ResNet-18 Pro,63,3.2114481925964355
ResNet-18 Pro,64,3.6686744689941406
ResNet-18 Pro,65,2.6261489391326904
ResNet-18 Pro,66,2.5522210597991943
ResNet-18 Pro,67,2.7206807136535645
ResNet-18 Pro,68,2.864905595779419
ResNet-18 Pro,69,2.9764628410339355
ResNet-18 Pro,70,2.5338072776794434
ResNet-18 Pro,71,2.2616450786590576
ResNet-18 Pro,72,2.605738401412964
ResNet-18 Pro,73,2.259665012359619
ResNet-18 Pro,74,2.3658275604248047
ResNet-18 Pro,75,2.031616687774658
ResNet-18 Pro,76,2.6720004081726074
ResNet-18 Pro,77,2.7997305393218994
ResNet-18 Pro,78,2.471365213394165
ResNet-18 Pro,79,1.9509998559951782
ResNet-18 Pro,80,2.213400363922119
ResNet-18 Pro,81,2.2487502098083496
ResNet-18 Pro,82,2.3109233379364014
ResNet-18 Pro,83,2.9286856651306152
ResNet-18 Pro,84,2.7280848026275635
ResNet-18 Pro,85,2.9029769897460938
ResNet-18 Pro,86,2.933516502380371
ResNet-18 Pro,87,2.603057622909546
ResNet-18 Pro,88,2.3326480388641357
ResNet-18 Pro,89,3.017482042312622
ResNet-18 Pro,90,3.0853898525238037
ResNet-18 Pro,91,2.2777352333068848
ResNet-18 Pro,92,3.1055748462677
ResNet-18 Pro,93,2.6653149127960205
ResNet-18 Pro,94,2.397775411605835
ResNet-18 Pro,95,2.5343639850616455
ResNet-18 Pro,96,2.5482475757598877
ResNet-18 Pro,97,2.402285575866699
ResNet-18 Pro,98,2.1386919021606445
ResNet-18 Pro,99,2.5422186851501465
ResNet-18 Pro,100,2.6497550010681152
ResNet-18 Pro,101,2.416100025177002
ResNet-18 Pro,102,2.425971269607544
ResNet-18 Pro,103,2.0978100299835205
ResNet-18 Pro,104,2.9958291053771973
ResNet-18 Pro,105,2.2725753784179688
ResNet-18 Pro,106,2.6223645210266113
ResNet-18 Pro,107,2.962862014770508
ResNet-18 Pro,108,2.6563172340393066
ResNet-18 Pro,109,2.201747417449951
ResNet-18 Pro,110,2.740323781967163
ResNet-18 Pro,111,2.277243137359619
ResNet-18 Pro,112,2.248901844024658
ResNet-18 Pro,113,2.5138821601867676
ResNet-18 Pro,114,2.3753890991210938
ResNet-18 Pro,115,2.3298959732055664
ResNet-18 Pro,116,2.7398464679718018
ResNet-18 Pro,117,2.241957902908325
ResNet-18 Pro,118,2.5758309364318848
ResNet-18 Pro,119,2.461822986602783
ResNet-18 Pro,120,2.8163137435913086
ResNet-18 Pro,121,2.653554677963257
ResNet-18 Pro,122,2.0975499153137207
ResNet-18 Pro,123,2.107419729232788
ResNet-18 Pro,124,2.699916124343872
ResNet-18 Pro,125,2.513580560684204
ResNet-18 Pro,126,3.0587258338928223
ResNet-18 Pro,127,2.2163190841674805
ResNet-18 Pro,128,2.186831474304199
ResNet-18 Pro,129,2.2861931324005127
ResNet-18 Pro,130,2.7368056774139404
ResNet-18 Pro,131,2.5204153060913086
ResNet-18 Pro,132,2.743586778640747
ResNet-18 Pro,133,2.6510634422302246
ResNet-18 Pro,134,2.1451709270477295
ResNet-18 Pro,135,2.2572755813598633
ResNet-18 Pro,136,2.415113925933838
ResNet-18 Pro,137,2.549527168273926
ResNet-18 Pro,138,2.3713295459747314
ResNet-18 Pro,139,2.8322033882141113
ResNet-18 Pro,140,2.3260371685028076
ResNet-18 Pro,141,2.160005807876587
ResNet-18 Pro,142,2.0931105613708496
ResNet-18 Pro,143,2.4823172092437744
ResNet-18 Pro,144,2.231360912322998
ResNet-18 Pro,145,2.2620275020599365
ResNet-18 Pro,146,2.3531742095947266
ResNet-18 Pro,147,2.2034974098205566
ResNet-18 Pro,148,2.750168800354004
ResNet-18 Pro,149,2.3539552688598633
ResNet-18 Pro,150,2.3787972927093506
ResNet-18 Pro,151,2.268883228302002
ResNet-18 Pro,152,2.60575532913208
ResNet-18 Pro,153,2.4803519248962402
ResNet-18 Pro,154,2.452547550201416
ResNet-18 Pro,155,2.170393943786621
ResNet-18 Pro,156,2.5766749382019043
ResNet-18 Pro,157,2.411330223083496
ResNet-18 Pro,158,2.6269757747650146
ResNet-18 Pro,159,2.587822675704956
ResNet-18 Pro,160,2.256401777267456
ResNet-18 Pro,161,2.4185891151428223
ResNet-18 Pro,162,2.5136611461639404
ResNet-18 Pro,163,2.3366587162017822
ResNet-18 Pro,164,2.398876428604126
ResNet-18 Pro,165,2.6388814449310303
ResNet-18 Pro,166,2.2267236709594727
ResNet-18 Pro,167,2.2353515625
ResNet-18 Pro,168,2.3287715911865234
ResNet-18 Pro,169,2.397056818008423
ResNet-18 Pro,170,2.4826626777648926
ResNet-18 Pro,171,2.662747859954834
ResNet-18 Pro,172,2.2699379920959473
ResNet-18 Pro,173,2.410238265991211
ResNet-18 Pro,174,2.4247803688049316
ResNet-18 Pro,175,2.4289023876190186
ResNet-18 Pro,176,2.2401955127716064
ResNet-18 Pro,177,2.4284615516662598
ResNet-18 Pro,178,2.2419838905334473
ResNet-18 Pro,179,2.682128667831421
ResNet-18 Pro,180,2.2639355659484863
ResNet-18 Pro,181,2.3579764366149902
ResNet-18 Pro,182,2.3577322959899902
ResNet-18 Pro,183,2.5530807971954346
ResNet-18 Pro,184,2.3846583366394043
ResNet-18 Pro,185,2.3608081340789795
ResNet-18 Pro,186,2.2590880393981934
ResNet-18 Pro,187,2.37723970413208
ResNet-18 Pro,188,2.280212879180908
ResNet-18 Pro,189,2.3612160682678223
