model,n-iterations,loss
ResNet-18 RGB,1,2.594242811203003
ResNet-18 RGB,2,6.672541618347168
ResNet-18 RGB,3,5.2799248695373535
ResNet-18 RGB,4,5.1962103843688965
ResNet-18 RGB,5,4.752859115600586
ResNet-18 RGB,6,4.0146894454956055
ResNet-18 RGB,7,3.3717074394226074
ResNet-18 RGB,8,2.9593214988708496
ResNet-18 RGB,9,4.495461463928223
ResNet-18 RGB,10,4.339188575744629
ResNet-18 RGB,11,4.066394329071045
ResNet-18 RGB,12,7.344380855560303
ResNet-18 RGB,13,3.545375347137451
ResNet-18 RGB,14,6.249577522277832
ResNet-18 RGB,15,4.716236114501953
ResNet-18 RGB,16,3.8502001762390137
ResNet-18 RGB,17,3.6668636798858643
ResNet-18 RGB,18,5.422256946563721
ResNet-18 RGB,19,5.704665184020996
ResNet-18 RGB,20,4.441713809967041
ResNet-18 RGB,21,4.5939178466796875
ResNet-18 RGB,22,2.7042150497436523
ResNet-18 RGB,23,2.820763111114502
ResNet-18 RGB,24,3.069746494293213
ResNet-18 RGB,25,3.2975502014160156
ResNet-18 RGB,26,2.665889263153076
ResNet-18 RGB,27,4.338715076446533
ResNet-18 RGB,28,3.942307710647583
ResNet-18 RGB,29,4.170684814453125
ResNet-18 RGB,30,5.760334014892578
ResNet-18 RGB,31,2.962033748626709
ResNet-18 RGB,32,4.4085373878479
ResNet-18 RGB,33,2.804464101791382
ResNet-18 RGB,34,2.759371519088745
ResNet-18 RGB,35,2.8558366298675537
ResNet-18 RGB,36,2.784045696258545
ResNet-18 RGB,37,2.8409953117370605
ResNet-18 RGB,38,2.468579053878784
ResNet-18 RGB,39,3.3420424461364746
ResNet-18 RGB,40,3.20326566696167
ResNet-18 RGB,41,2.830517530441284
ResNet-18 RGB,42,2.735417604446411
ResNet-18 RGB,43,2.3075833320617676
ResNet-18 RGB,44,3.0308778285980225
ResNet-18 RGB,45,2.52211332321167
ResNet-18 RGB,46,2.663625717163086
ResNet-18 RGB,47,2.6948463916778564
ResNet-18 RGB,48,2.838566780090332
ResNet-18 RGB,49,2.2928097248077393
ResNet-18 RGB,50,2.6681408882141113
ResNet-18 RGB,51,2.6165356636047363
ResNet-18 RGB,52,3.6520705223083496
ResNet-18 RGB,53,2.9624555110931396
ResNet-18 RGB,54,2.4552297592163086
ResNet-18 RGB,55,2.4010074138641357
ResNet-18 RGB,56,2.206868886947632
ResNet-18 RGB,57,2.684441566467285
ResNet-18 RGB,58,2.6209120750427246
ResNet-18 RGB,59,3.6684365272521973
ResNet-18 RGB,60,2.6411361694335938
ResNet-18 RGB,61,2.7659802436828613
ResNet-18 RGB,62,2.749845266342163
ResNet-18 RGB,63,2.2753500938415527
ResNet-18 RGB,64,3.0254406929016113
ResNet-18 RGB,65,3.3020737171173096
ResNet-18 RGB,66,2.5020110607147217
ResNet-18 RGB,67,2.760450839996338
ResNet-18 RGB,68,2.6174633502960205
ResNet-18 RGB,69,2.2186570167541504
ResNet-18 RGB,70,2.428950786590576
ResNet-18 RGB,71,2.332852602005005
ResNet-18 RGB,72,2.418790817260742
ResNet-18 RGB,73,2.852114200592041
ResNet-18 RGB,74,3.1451480388641357
ResNet-18 RGB,75,3.4338927268981934
ResNet-18 RGB,76,2.4337880611419678
ResNet-18 RGB,77,3.151839256286621
ResNet-18 RGB,78,2.347972869873047
ResNet-18 RGB,79,2.3211498260498047
ResNet-18 RGB,80,2.4894237518310547
ResNet-18 RGB,81,2.597780704498291
ResNet-18 RGB,82,2.3671875
ResNet-18 RGB,83,2.6264359951019287
ResNet-18 RGB,84,2.2925007343292236
ResNet-18 RGB,85,2.4731953144073486
ResNet-18 RGB,86,2.422541379928589
ResNet-18 RGB,87,2.556844711303711
ResNet-18 RGB,88,2.4216744899749756
ResNet-18 RGB,89,2.2988741397857666
ResNet-18 RGB,90,2.2249748706817627
ResNet-18 RGB,91,2.254176616668701
ResNet-18 RGB,92,2.1650137901306152
ResNet-18 RGB,93,3.1289684772491455
ResNet-18 RGB,94,2.690399646759033
ResNet-18 RGB,95,2.365055799484253
ResNet-18 RGB,96,2.7983083724975586
ResNet-18 RGB,97,2.509946823120117
ResNet-18 RGB,98,2.294205904006958
ResNet-18 RGB,99,2.4729816913604736
ResNet-18 RGB,100,2.3279471397399902
ResNet-18 RGB,101,2.224886417388916
ResNet-18 RGB,102,2.180403232574463
ResNet-18 RGB,103,2.8607237339019775
ResNet-18 RGB,104,2.9534664154052734
ResNet-18 RGB,105,2.7212939262390137
ResNet-18 RGB,106,2.273568630218506
ResNet-18 RGB,107,2.245250940322876
ResNet-18 RGB,108,2.5541493892669678
ResNet-18 RGB,109,2.755370616912842
ResNet-18 RGB,110,2.4545187950134277
ResNet-18 RGB,111,2.454490900039673
ResNet-18 RGB,112,2.032893657684326
ResNet-18 RGB,113,2.823806047439575
ResNet-18 RGB,114,2.444455623626709
ResNet-18 RGB,115,2.608090877532959
ResNet-18 RGB,116,2.3257360458374023
ResNet-18 RGB,117,2.098308801651001
ResNet-18 RGB,118,2.3189327716827393
ResNet-18 RGB,119,2.1963484287261963
ResNet-18 RGB,120,2.183875799179077
ResNet-18 RGB,121,1.98481023311615
ResNet-18 RGB,122,2.705562114715576
ResNet-18 RGB,123,2.5785436630249023
ResNet-18 RGB,124,1.9624309539794922
ResNet-18 RGB,125,2.4049038887023926
ResNet-18 RGB,126,2.5107128620147705
ResNet-18 RGB,127,2.3545992374420166
ResNet-18 RGB,128,2.497879981994629
ResNet-18 RGB,129,2.3656342029571533
ResNet-18 RGB,130,2.7578017711639404
ResNet-18 RGB,131,2.2225701808929443
ResNet-18 RGB,132,2.413461446762085
ResNet-18 RGB,133,2.5507209300994873
ResNet-18 RGB,134,2.440877676010132
ResNet-18 RGB,135,2.356769561767578
ResNet-18 RGB,136,2.5728235244750977
ResNet-18 RGB,137,2.540137767791748
ResNet-18 RGB,138,2.6453909873962402
ResNet-18 RGB,139,2.2378926277160645
ResNet-18 RGB,140,2.6469810009002686
ResNet-18 RGB,141,2.67748761177063
ResNet-18 RGB,142,2.2693731784820557
ResNet-18 RGB,143,2.474841833114624
ResNet-18 RGB,144,2.510403871536255
ResNet-18 RGB,145,2.494199514389038
ResNet-18 RGB,146,2.4335012435913086
ResNet-18 RGB,147,2.583780527114868
ResNet-18 RGB,148,2.0866997241973877
ResNet-18 RGB,149,2.517885208129883
ResNet-18 RGB,150,2.511472463607788
ResNet-18 RGB,151,2.517289400100708
ResNet-18 RGB,152,2.310054302215576
ResNet-18 RGB,153,2.587973117828369
ResNet-18 RGB,154,2.535661220550537
ResNet-18 RGB,155,2.2448644638061523
ResNet-18 RGB,156,2.3558244705200195
ResNet-18 RGB,157,2.183502674102783
ResNet-18 RGB,158,2.267828941345215
ResNet-18 RGB,159,2.468031167984009
ResNet-18 RGB,160,2.1749119758605957
ResNet-18 RGB,161,2.5321803092956543
ResNet-18 RGB,162,2.4185729026794434
ResNet-18 RGB,163,2.6541435718536377
ResNet-18 RGB,164,2.702094078063965
ResNet-18 RGB,165,2.223315954208374
ResNet-18 RGB,166,2.558492660522461
ResNet-18 RGB,167,2.4435479640960693
ResNet-18 RGB,168,2.4271492958068848
ResNet-18 RGB,169,2.580465793609619
ResNet-18 RGB,170,2.4827845096588135
ResNet-18 RGB,171,2.3322455883026123
ResNet-18 RGB,172,2.331956148147583
ResNet-18 RGB,173,2.3315069675445557
ResNet-18 RGB,174,2.2272133827209473
ResNet-18 RGB,175,2.2553658485412598
ResNet-18 RGB,176,2.471968173980713
ResNet-18 RGB,177,2.367873430252075
ResNet-18 RGB,178,2.4146885871887207
ResNet-18 RGB,179,2.3147530555725098
ResNet-18 RGB,180,2.201643943786621
ResNet-18 RGB,181,2.204052686691284
ResNet-18 RGB,182,2.3687126636505127
ResNet-18 RGB,183,2.1802828311920166
ResNet-18 RGB,184,2.5056917667388916
ResNet-18 RGB,185,2.4676690101623535
ResNet-18 RGB,186,2.336336135864258
ResNet-18 RGB,187,2.556849479675293
ResNet-18 RGB,188,2.271916627883911
